time(s),avg_energy(J/m^3),avg_photon(m^-3)
75.8,92690.53749671848,10000000000
75.9,92681.26844297975,10000000000
76,92672.00031613442,10000000000
76.10000000000001,92662.73311610687,10000000000
76.2,92653.46684277273,10000000000
76.3,92644.20149611351,10000000000
76.4,92634.93707596225,10000000000
76.5,92625.67358223128,10000000000
76.60000000000001,92616.41101488161,10000000000
76.7,92607.14937377191,10000000000
76.80000000000001,92597.88865884663,10000000000
76.9,92588.62886997746,10000000000
77,92579.37000707927,10000000000
77.10000000000001,92570.11207008417,10000000000
77.2,92560.8550588978,10000000000
77.30000000000001,92551.59897338517,10000000000
77.4,92542.34381346256,10000000000
77.5,92533.08957910331,10000000000
77.60000000000001,92523.83627013444,10000000000
77.7,92514.58388650621,10000000000
77.80000000000001,92505.33242810803,10000000000
77.9,92496.08189487521,10000000000
78,92486.83228670523,10000000000
78.10000000000001,92477.5836034668,10000000000
78.2,92468.33584511059,10000000000
78.30000000000001,92459.08901151737,10000000000
78.4,92449.84310260936,10000000000
78.5,92440.59811830522,10000000000
78.60000000000001,92431.35405850192,10000000000
78.7,92422.11092308495,10000000000
78.80000000000001,92412.86871198914,10000000000
78.9,92403.6274251157,10000000000
79,92394.38706238962,10000000000
79.10000000000001,92385.14762366646,10000000000
79.2,92375.90910891032,10000000000
79.30000000000001,92366.6715180012,10000000000
79.4,92357.43485084652,10000000000
79.5,92348.19910737347,10000000000
79.60000000000001,92338.96428744304,10000000000
79.7,92329.73039102556,10000000000
79.80000000000001,92320.4974180027,10000000000
79.9,92311.26536823335,10000000000
80,92302.03424170897,10000000000
80.10000000000001,92292.80403828617,10000000000
80.2,92283.57475789094,10000000000
80.30000000000001,92274.34640039044,10000000000
80.4,92265.11896575365,10000000000
80.5,92255.8924538742,10000000000
80.60000000000001,92246.66686463135,10000000000
80.7,92237.44219792716,10000000000
80.80000000000001,92228.21845372408,10000000000
80.9,92218.99563185725,10000000000
81,92209.77373230475,10000000000
81.10000000000001,92200.55275492222,10000000000
81.2,92191.33269965665,10000000000
81.30000000000001,92182.11356639654,10000000000
81.4,92172.89535502701,10000000000
81.5,92163.6780655033,10000000000
81.60000000000001,92154.46169769697,10000000000
81.7,92145.24625150717,10000000000
81.80000000000001,92136.03172688055,10000000000
81.9,92126.81812370855,10000000000
82,92117.60544191964,10000000000
82.10000000000001,92108.39368137221,10000000000
82.2,92099.18284200793,10000000000
82.30000000000001,92089.97292372052,10000000000
82.4,92080.76392641995,10000000000
82.5,92071.555850029,10000000000
82.60000000000001,92062.34869444372,10000000000
82.7,92053.14245958767,10000000000
